N° de compte,Nomenclature du compte,La classe,La rubrique
37,Ecarts de conversion-actif (éléments circulants),Comptes d'Actif Circulant,Ecarts de conversion-actif (éléments circulants)
370,Ecarts de conversion-actif (éléments circulants),Comptes d'Actif Circulant,Ecarts de conversion-actif (éléments circulants)
3701,Diminution des créances circulantes,Comptes d'Actif Circulant,Ecarts de conversion-actif (éléments circulants)
3702,Diminution des dettes circulantes,Comptes d'Actif Circulant,Ecarts de conversion-actif (éléments circulants)
39,Provision pour dépréciation des comptes de l'actif circulant,Comptes d'Actif Circulant,Provision pour dépréciation des comptes de l'actif circulant
391,Provisions pour dépréciation des stocks,Comptes d'Actif Circulant,Provision pour dépréciation des comptes de l'actif circulant
3911,Provisions pour dépréciation des Marchandises,Comptes d'Actif Circulant,Provision pour dépréciation des comptes de l'actif circulant
3912,Provisions pour dépréciation des matières et fournitures,Comptes d'Actif Circulant,Provision pour dépréciation des comptes de l'actif circulant
3913,Provisions pour dépréciation des produits en cours,Comptes d'Actif Circulant,Provision pour dépréciation des comptes de l'actif circulant
3914,Provisions pour dépréciation des produits intermédiaires,Comptes d'Actif Circulant,Provision pour dépréciation des comptes de l'actif circulant
3915,Provisions pour dépréciation des produits finis,Comptes d'Actif Circulant,Provision pour dépréciation des comptes de l'actif circulant
394,Provisions pour dépréciation des créances de l'actif circulant,Comptes d'Actif Circulant,Provision pour dépréciation des comptes de l'actif circulant
3941,"Provisions pour dépréciation - fournisseurs débiteurs, avances et acomptes",Comptes d'Actif Circulant,Provision pour dépréciation des comptes de l'actif circulant
3942,Provisions pour dépréciation des clients et comptes rattachés,Comptes d'Actif Circulant,Provision pour dépréciation des comptes de l'actif circulant
3943,Provisions pour dépréciation du personnel - débiteur,Comptes d'Actif Circulant,Provision pour dépréciation des comptes de l'actif circulant
3946,Provisions pour dépréciation des comptes d'associés débiteurs,Comptes d'Actif Circulant,Provision pour dépréciation des comptes de l'actif circulant
3948,Provisions pour dépréciation des autres débiteurs,Comptes d'Actif Circulant,Provision pour dépréciation des comptes de l'actif circulant
395,Provisions pour dépréciation des titres et valeur de placement,Comptes d'Actif Circulant,Provision pour dépréciation des comptes de l'actif circulant
3950,Provisions pour dépréciation des titres et valeur de placement,Comptes d'Actif Circulant,Provision pour dépréciation des comptes de l'actif circulant
4,Comptes de passif circulant (Hors trésorerie),Comptes de Passif Circulant,
44,Dettes du passif circulant,Comptes de Passif Circulant,Dettes du passif circulant
441,Fournisseurs et comptes rattachés ,Comptes de Passif Circulant,Dettes du passif circulant
4411,Fournisseurs,Comptes de Passif Circulant,Dettes du passif circulant
44111,Fournisseurs - catégorie A,Comptes de Passif Circulant,Dettes du passif circulant
44112,Fournisseurs - catégorie B,Comptes de Passif Circulant,Dettes du passif circulant
4413,Fournisseurs - retenues de garantie,Comptes de Passif Circulant,Dettes du passif circulant
4415,Fournisseurs - effets à payer,Comptes de Passif Circulant,Dettes du passif circulant
4417,Fournisseurs - factures non parvenues,Comptes de Passif Circulant,Dettes du passif circulant
4418,Autres fournisseurs et comptes rattachés,Comptes de Passif Circulant,Dettes du passif circulant
442,"Clients créditeurs, avances et acomptes",Comptes de Passif Circulant,Dettes du passif circulant
4421,Clients - avances et acomptes reçus sur commandes en cours,Comptes de Passif Circulant,Dettes du passif circulant
4425,Clients - dettes pour emballages et matériel consignés,Comptes de Passif Circulant,Dettes du passif circulant
4427,"Rabais, remises et ristournes à accorder - avoirs à établir",Comptes de Passif Circulant,Dettes du passif circulant
4428,Autres clients créditeurs,Comptes de Passif Circulant,Dettes du passif circulant
443,Personnel - créditeur,Comptes de Passif Circulant,Dettes du passif circulant
4432,Rémunérations dues au personnel,Comptes de Passif Circulant,Dettes du passif circulant
4433,Dépôts du personnel créditeurs,Comptes de Passif Circulant,Dettes du passif circulant
4434,Oppositions sur salaires,Comptes de Passif Circulant,Dettes du passif circulant
4437,Charges de personnel à payer,Comptes de Passif Circulant,Dettes du passif circulant
4438,Personnel - autres créditeurs,Comptes de Passif Circulant,Dettes du passif circulant
444,Organismes sociaux,Comptes de Passif Circulant,Dettes du passif circulant
4441,Caisse nationale de la sécurité sociale,Comptes de Passif Circulant,Dettes du passif circulant
4443,Caisses de retraite,Comptes de Passif Circulant,Dettes du passif circulant
4445,Mutuelles ,Comptes de Passif Circulant,Dettes du passif circulant
4447,charges sociales à payer,Comptes de Passif Circulant,Dettes du passif circulant
4448,Autres organismes sociaux,Comptes de Passif Circulant,Dettes du passif circulant
445,Etat - créditeur,Comptes de Passif Circulant,Dettes du passif circulant
4452,"Etat, impôts, taxes et assimilés",Comptes de Passif Circulant,Dettes du passif circulant
44521,"Etat, taxe urbaine et taxe d'édilité",Comptes de Passif Circulant,Dettes du passif circulant
44522,"Etat, patente",Comptes de Passif Circulant,Dettes du passif circulant
44525,"Etat, PTS et PSN",Comptes de Passif Circulant,Dettes du passif circulant
4453,"Etat, impôts sur les résultats",Comptes de Passif Circulant,Dettes du passif circulant
4455,"Etat, TVA facturée",Comptes de Passif Circulant,Dettes du passif circulant
4456,"Etat, TVA due (suivant déclarations)",Comptes de Passif Circulant,Dettes du passif circulant
4457,"Etat, impôts et taxes à payer",Comptes de Passif Circulant,Dettes du passif circulant
4458,"Etat, autres comptes créditeurs",Comptes de Passif Circulant,Dettes du passif circulant
446,Comptes d'associés - créditeurs,Comptes de Passif Circulant,Dettes du passif circulant
4461,Associés - capital à rembourser,Comptes de Passif Circulant,Dettes du passif circulant
4462,Associés - versements reçus sur augmentation de capital,Comptes de Passif Circulant,Dettes du passif circulant
4463,Comptes courants des associés - créditeurs,Comptes de Passif Circulant,Dettes du passif circulant
4464,Associés - opérations faites en commun,Comptes de Passif Circulant,Dettes du passif circulant
4465,Associés - dividendes à payer,Comptes de Passif Circulant,Dettes du passif circulant
4468,Autres comptes d'associés créditeurs,Comptes de Passif Circulant,Dettes du passif circulant
448,Autres créanciers,Comptes de Passif Circulant,Dettes du passif circulant
4481,Dettes sur acquisition des immobilisations,Comptes de Passif Circulant,Dettes du passif circulant
4483,Dettes sur acquisition des titres et valeurs de placement,Comptes de Passif Circulant,Dettes du passif circulant
4484,Obligations échus à rembourser,Comptes de Passif Circulant,Dettes du passif circulant
4485,"Obligations, coupons à payer",Comptes de Passif Circulant,Dettes du passif circulant
4487,Dettes rattachées aux autres créanciers,Comptes de Passif Circulant,Dettes du passif circulant
4488,Divers créanciers,Comptes de Passif Circulant,Dettes du passif circulant
449,Comptes de régularisation - passif,Comptes de Passif Circulant,Dettes du passif circulant
4491,Produits constatés d'avance,Comptes de Passif Circulant,Dettes du passif circulant
4493,Intérêts courus et non échus à payer,Comptes de Passif Circulant,Dettes du passif circulant
4495,Comptes de répartition périodique des produits,Comptes de Passif Circulant,Dettes du passif circulant
4497,Comptes transitoires ou d'attente - créditeurs,Comptes de Passif Circulant,Dettes du passif circulant
45,Autres provisions pour risques et charges,Comptes de Passif Circulant,Autres provisions pour risques et charges
450,Autres provisions pour risque et charges,Comptes de Passif Circulant,Autres provisions pour risques et charges
4501,Provisions pour litiges,Comptes de Passif Circulant,Autres provisions pour risques et charges
4502,Provisions pour garanties données aux clients,Comptes de Passif Circulant,Autres provisions pour risques et charges
4505,"Provisions pour amendes, doubles droits et pénalités",Comptes de Passif Circulant,Autres provisions pour risques et charges
4506,Provisions pour pertes de change,Comptes de Passif Circulant,Autres provisions pour risques et charges
4507,Provisions pour impôts,Comptes de Passif Circulant,Autres provisions pour risques et charges
4508,Autres provisions pour risque et charges,Comptes de Passif Circulant,Autres provisions pour risques et charges
47,Ecarts de conversion - Passif,Comptes de Passif Circulant,Ecarts de conversion - Passif
470,Ecarts de conversion - Passif (éléments circulants),Comptes de Passif Circulant,Ecarts de conversion - Passif
4701,Augmentation des créances circulantes,Comptes de Passif Circulant,Ecarts de conversion - Passif
4702,Diminution des dettes circulantes,Comptes de Passif Circulant,Ecarts de conversion - Passif
5,Comptes de trésorerie,Comptes de Trésorerie,
51,Trésorerie - actif,Comptes de Trésorerie,Trésorerie - actif
511,Chèques et valeurs à encaisser,Comptes de Trésorerie,Trésorerie - actif
5111,Chèques à encaisser ou à l'encaissement,Comptes de Trésorerie,Trésorerie - actif
51111,Chèques en portefeuille,Comptes de Trésorerie,Trésorerie - actif
51112,Chèques à l'encaissement,Comptes de Trésorerie,Trésorerie - actif
5113,Effets à encaisser ou à l'encaissement,Comptes de Trésorerie,Trésorerie - actif
51131,Effets échus à encaisser,Comptes de Trésorerie,Trésorerie - actif
51132,Effets à l'encaissement,Comptes de Trésorerie,Trésorerie - actif
5115,Virements de fonds,Comptes de Trésorerie,Trésorerie - actif
5118,Autres valeurs à encaisser,Comptes de Trésorerie,Trésorerie - actif
514,"Banques, Trésorerie Générale et Chèques Postaux débiteurs",Comptes de Trésorerie,Trésorerie - actif
5141,Banques (soldes débiteurs),Comptes de Trésorerie,Trésorerie - actif
5143,Trésorerie Générale,Comptes de Trésorerie,Trésorerie - actif
5146,Chèques postaux,Comptes de Trésorerie,Trésorerie - actif
5148,Autres établissements financiers et assimilés (soldes débiteurs),Comptes de Trésorerie,Trésorerie - actif
516,"Caisses, régies d'avances et accréditifs",Comptes de Trésorerie,Trésorerie - actif
5161,Caisses,Comptes de Trésorerie,Trésorerie - actif
51611,Caisse Centrale,Comptes de Trésorerie,Trésorerie - actif
51613,Caisse (Succursale ou agence A),Comptes de Trésorerie,Trésorerie - actif
51614,Caisse (Succursale ou agence B),Comptes de Trésorerie,Trésorerie - actif
5165,Régies d'avances et accréditifs,Comptes de Trésorerie,Trésorerie - actif
55,Trésorerie - Passif,Comptes de Trésorerie,Trésorerie - Passif
552,Crédits d'escompte,Comptes de Trésorerie,Trésorerie - Passif
5520,Crédits d'escompte,Comptes de Trésorerie,Trésorerie - Passif
553,Crédits de trésorerie,Comptes de Trésorerie,Trésorerie - Passif
5530,Crédits de trésorerie,Comptes de Trésorerie,Trésorerie - Passif
554,Banques (soldes créditeurs),Comptes de Trésorerie,Trésorerie - Passif
5541,Banques (soldes créditeurs),Comptes de Trésorerie,Trésorerie - Passif
5548,Autres établissements financiers et assimilés (soldes créditeurs),Comptes de Trésorerie,Trésorerie - Passif
59,Provisions pour dépréciation des comptes de trésorerie,Comptes de Trésorerie,Provisions pour dépréciation des comptes de trésorerie
590,Provisions pour dépréciation des comptes de trésorerie,Comptes de Trésorerie,Provisions pour dépréciation des comptes de trésorerie
5900,Provisions pour dépréciation des comptes de trésorerie,Comptes de Trésorerie,Provisions pour dépréciation des comptes de trésorerie
6,Charges,Comptes de Charges,
61,Charges d'exploitation,Comptes de Charges,Charges d'exploitation
611,Achats revendus de marchandises,Comptes de Charges,Charges d'exploitation
6111,Achats de marchandises (Groupe A),Comptes de Charges,Charges d'exploitation
6112,Achats de marchandises (Groupe B),Comptes de Charges,Charges d'exploitation
6114,Variation des stocks de marchandises,Comptes de Charges,Charges d'exploitation
6118,Achats revendus de marchandises des exercices antérieurs,Comptes de Charges,Charges d'exploitation
6119,"Rabais, remises, et ristournes obtenus sur achats de marchandises",Comptes de Charges,Charges d'exploitation
612,Achats consommés de matières et fournitures,Comptes de Charges,Charges d'exploitation
6121,Achats de matières premières,Comptes de Charges,Charges d'exploitation
61211,Achats de matières premières A,Comptes de Charges,Charges d'exploitation
61212,Achats de matières premières B,Comptes de Charges,Charges d'exploitation
6122,Achats de matières et fournitures consommables,Comptes de Charges,Charges d'exploitation
61221,Achats de matières et fournitures A,Comptes de Charges,Charges d'exploitation
61222,Achats de matières et fournitures B,Comptes de Charges,Charges d'exploitation
61223,Achats de combustibles,Comptes de Charges,Charges d'exploitation
61224,Achats de produits d'entretien,Comptes de Charges,Charges d'exploitation
61225,Achats de fournitures d'atelier d'usine,Comptes de Charges,Charges d'exploitation
61226,Achats de fournitures de magasin,Comptes de Charges,Charges d'exploitation
61227,Achats de fournitures de bureau,Comptes de Charges,Charges d'exploitation
6123,Achats d'emballages,Comptes de Charges,Charges d'exploitation
61231,Achats d'emballages perdus,Comptes de Charges,Charges d'exploitation
61232,Achats d'emballages récupérables non identifiables,Comptes de Charges,Charges d'exploitation
61233,Achats d'emballages à usage mixte,Comptes de Charges,Charges d'exploitation
6124,Variation des stocks de matières et fournitures,Comptes de Charges,Charges d'exploitation
61241,Variation des stocks de matières premières,Comptes de Charges,Charges d'exploitation
61242,Variation des stocks de matières et fournitures consommables,Comptes de Charges,Charges d'exploitation
61243,Variation des stocks d'emballages,Comptes de Charges,Charges d'exploitation
6125,Achats non stockés de matières et fournitures,Comptes de Charges,Charges d'exploitation
61251,Achats de fournitures non stockables,Comptes de Charges,Charges d'exploitation
61252,Achats de fournitures d'entretien,Comptes de Charges,Charges d'exploitation
61253,Achats de petit outillage et de petit équipement,Comptes de Charges,Charges d'exploitation
61254,Achats de fournitures de bureau,Comptes de Charges,Charges d'exploitation
6126,"Achats de travaux, études et prestations de services",Comptes de Charges,Charges d'exploitation
61261,Achats de travaux,Comptes de Charges,Charges d'exploitation
61262,Achats d'études,Comptes de Charges,Charges d'exploitation
61263,Achats des prestations de service,Comptes de Charges,Charges d'exploitation
6128,Achats des matières et des fournitures des exercices antérieurs,Comptes de Charges,Charges d'exploitation
6129,"Rabais, remises, et ristournes obtenus sur achats consommés de matières et fournitures",Comptes de Charges,Charges d'exploitation
61291,"Rabais, remises, et ristournes obtenus sur achats de matières premières",Comptes de Charges,Charges d'exploitation
61292,"Rabais, remises, et ristournes obtenus sur achats de matières et fournitures consommables",Comptes de Charges,Charges d'exploitation
61293,"Rabais, remises, et ristournes obtenus sur achats d'emballages",Comptes de Charges,Charges d'exploitation
61295,"Rabais, remises, et ristournes obtenus sur achats non stockés",Comptes de Charges,Charges d'exploitation
61296,"Rabais, remises, et ristournes obtenus sur achats de travaux, études et prestations de services",Comptes de Charges,Charges d'exploitation
61298,"Rabais, remises, et ristournes obtenus sur achats de matières et fournitures des exercices antérieurs",Comptes de Charges,Charges d'exploitation
613 - 614,Autres charges externes,Comptes de Charges,Charges d'exploitation
6131,Locations et charges locatives,Comptes de Charges,Charges d'exploitation
61311,Location de terrains,Comptes de Charges,Charges d'exploitation
61312,Location de constructions,Comptes de Charges,Charges d'exploitation
61313,Location de matériel et d'outillage,Comptes de Charges,Charges d'exploitation
61314,Location de matériel et matériel de bureau,Comptes de Charges,Charges d'exploitation
61315,Location de matériel informatique,Comptes de Charges,Charges d'exploitation
61316,Location de matériel de transport,Comptes de Charges,Charges d'exploitation
61317,Malis sur emballages rendus,Comptes de Charges,Charges d'exploitation
61318,Location et charges locatives diverses,Comptes de Charges,Charges d'exploitation
6132,Redevances de crédit bail,Comptes de Charges,Charges d'exploitation
61321,"Redevances de crédit bail, mobilier et matériel",Comptes de Charges,Charges d'exploitation
6133,Entretien et réparations,Comptes de Charges,Charges d'exploitation
61331,Entretien et réparations des biens immobiliers,Comptes de Charges,Charges d'exploitation
61332,Entretien et réparations des biens mobiliers,Comptes de Charges,Charges d'exploitation
61335,Maintenance,Comptes de Charges,Charges d'exploitation
6134,Primes d'assurance,Comptes de Charges,Charges d'exploitation
61341,"Assurances multirisques (vol, incendie, responsabilité civile, etc.)",Comptes de Charges,Charges d'exploitation
61343,Assurances - Risques d'exploitation,Comptes de Charges,Charges d'exploitation
61345,Assurances - Matériel de transport,Comptes de Charges,Charges d'exploitation
61348,Autres assurances,Comptes de Charges,Charges d'exploitation
6135,Rémunérations du personnel extérieurs à l'entreprise,Comptes de Charges,Charges d'exploitation
61351,Rémunérations du personnel occasionnel,Comptes de Charges,Charges d'exploitation
61352,Rémunérations du personnel intérimaire,Comptes de Charges,Charges d'exploitation
61353,Rémunérations du personnel détaché ou prêté à l'entreprise,Comptes de Charges,Charges d'exploitation
6136,Rémunérations d'intermédiaires et honoraires,Comptes de Charges,Charges d'exploitation
61361,Commissions et courtages,Comptes de Charges,Charges d'exploitation
61365,honoraires,Comptes de Charges,Charges d'exploitation
61367,Frais d'actes et de contentieux,Comptes de Charges,Charges d'exploitation
6137,"Redevances pour brevets, marques, droits et valeurs similaires",Comptes de Charges,Charges d'exploitation
61371,Redevances pour brevets,Comptes de Charges,Charges d'exploitation
61378,Autres redevances,Comptes de Charges,Charges d'exploitation
6141,"Etudes, recherches et documentation",Comptes de Charges,Charges d'exploitation
61411,Etudes générales,Comptes de Charges,Charges d'exploitation
61413,Recherches,Comptes de Charges,Charges d'exploitation
61415,Documentation générale,Comptes de Charges,Charges d'exploitation
61416,Documentation technique,Comptes de Charges,Charges d'exploitation
6142,Transport,Comptes de Charges,Charges d'exploitation
61421,Transport du personnel,Comptes de Charges,Charges d'exploitation
61425,Transport sur achats,Comptes de Charges,Charges d'exploitation
61426,Transport sur ventes,Comptes de Charges,Charges d'exploitation
61428,Autres transports,Comptes de Charges,Charges d'exploitation
6143,"Déplacements, missions et réceptions",Comptes de Charges,Charges d'exploitation
61431,Voyages et déplacements,Comptes de Charges,Charges d'exploitation
61433,Frais de déménagement,Comptes de Charges,Charges d'exploitation
61435,Missions,Comptes de Charges,Charges d'exploitation
61436,Réceptions,Comptes de Charges,Charges d'exploitation
6144,"Publicité, publications et relations publiques",Comptes de Charges,Charges d'exploitation
61441,Annonces et insertions,Comptes de Charges,Charges d'exploitation
61442,"Echantillons, catalogues et imprimés publicitaires",Comptes de Charges,Charges d'exploitation
61443,Foires et expositions,Comptes de Charges,Charges d'exploitation
61444,Primes de publicité,Comptes de Charges,Charges d'exploitation
61446,Publications,Comptes de Charges,Charges d'exploitation
61447,Cadeaux à la clientèle,Comptes de Charges,Charges d'exploitation
61448,Autres charges de publicité et relations publiques,Comptes de Charges,Charges d'exploitation
6145,Frais postaux et frais de télécommunications,Comptes de Charges,Charges d'exploitation
61451,Frais postaux,Comptes de Charges,Charges d'exploitation
61455,Frais de téléphone,Comptes de Charges,Charges d'exploitation
61456,Frais de télex et de télégrammes,Comptes de Charges,Charges d'exploitation
6146,Cotisations et dons,Comptes de Charges,Charges d'exploitation
61461,Cotisations,Comptes de Charges,Charges d'exploitation
61462,Dons,Comptes de Charges,Charges d'exploitation
6147,Services bancaires,Comptes de Charges,Charges d'exploitation
61471,Frais d'achat et de vente des titres,Comptes de Charges,Charges d'exploitation
61472,Frais sur effet de commerce,Comptes de Charges,Charges d'exploitation
61473,Frais et commissions sur services bancaires,Comptes de Charges,Charges d'exploitation
6148,Autres charges externes des exercices antérieurs,Comptes de Charges,Charges d'exploitation
6149,"Rabais, remises et ristournes obtenus sur autres charges externes",Comptes de Charges,Charges d'exploitation
616,Impôts et taxes,Comptes de Charges,Charges d'exploitation
6161,Impôts et taxes directs,Comptes de Charges,Charges d'exploitation
61611,Taxe urbaine et taxe d'édilité,Comptes de Charges,Charges d'exploitation
61612,Patente,Comptes de Charges,Charges d'exploitation
61615,Taxes locales,Comptes de Charges,Charges d'exploitation
6165,Impôts et taxes indirects,Comptes de Charges,Charges d'exploitation
6167,"Impôts, taxes et droits assimilés",Comptes de Charges,Charges d'exploitation
61671,Droits d'enregistrement et timbre,Comptes de Charges,Charges d'exploitation
61673,Taxes sur les véhicules,Comptes de Charges,Charges d'exploitation
61678,"Autres impôts, taxes et droits assimilés",Comptes de Charges,Charges d'exploitation
6168,Impôts et taxes des exercices antérieurs,Comptes de Charges,Charges d'exploitation
617,Charges de personnel,Comptes de Charges,Charges d'exploitation
6171,Rémunération du personnel,Comptes de Charges,Charges d'exploitation
61711,Appointements et salaires,Comptes de Charges,Charges d'exploitation
61712,Primes et gratifications,Comptes de Charges,Charges d'exploitation
61713,Indemnités et avantages divers,Comptes de Charges,Charges d'exploitation
61714,Commissions au personnel,Comptes de Charges,Charges d'exploitation
61715,"Rémunération des administrateurs, gérants et associés",Comptes de Charges,Charges d'exploitation
6174,charges sociales,Comptes de Charges,Charges d'exploitation
61741,Cotisations de sécurité sociale,Comptes de Charges,Charges d'exploitation
61742,Cotisations aux caisses de retraite,Comptes de Charges,Charges d'exploitation
61743,Cotisations aux mutuelles,Comptes de Charges,Charges d'exploitation
61744,Prestations familiales,Comptes de Charges,Charges d'exploitation
61745,Assurances accidents de travail,Comptes de Charges,Charges d'exploitation
6176,Charges sociales diverses,Comptes de Charges,Charges d'exploitation
61761,Assurances groupe,Comptes de Charges,Charges d'exploitation
61762,Prestations de retraites,Comptes de Charges,Charges d'exploitation
61763,Allocations aux œuvres sociales,Comptes de Charges,Charges d'exploitation
61764,Habillement et vêtements de travail,Comptes de Charges,Charges d'exploitation
61765,Indemnités de préavis et de licenciement,Comptes de Charges,Charges d'exploitation
61766,"Médecine du travail, pharmacie",Comptes de Charges,Charges d'exploitation
61768,Autres charges sociales diverses,Comptes de Charges,Charges d'exploitation
6177,Rémunération de l'exploitant,Comptes de Charges,Charges d'exploitation
61771,Appointements et salaires,Comptes de Charges,Charges d'exploitation
61774,Charges sociales sur appointements et salaires de l'exploitant,Comptes de Charges,Charges d'exploitation
6178,Charges de personnel des exercices antérieurs,Comptes de Charges,Charges d'exploitation
618,Autres charges d'exploitation,Comptes de Charges,Charges d'exploitation
6181,Jetons de présence,Comptes de Charges,Charges d'exploitation
6182,Pertes sur créances irrécouvrables,Comptes de Charges,Charges d'exploitation
6185,Pertes sur opérations faites en commun,Comptes de Charges,Charges d'exploitation
6186,Transferts de profits sur opérations faites en commun,Comptes de Charges,Charges d'exploitation
6188,Autres charges d'exploitation des exercices antérieurs,Comptes de Charges,Charges d'exploitation
619,Dotation d'exploitation,Comptes de Charges,Charges d'exploitation
6191,Dotations d'exploitation aux amortissements de l'immobilisation en non-valeurs,Comptes de Charges,Charges d'exploitation
61911,Dotations d'exploitation aux amortissements des frais préliminaires,Comptes de Charges,Charges d'exploitation
61912,Dotations d'exploitation aux amortissements des charges à répartir,Comptes de Charges,Charges d'exploitation
6192,Dotations d'exploitation aux amortissements de l'immobilisation incorporelles,Comptes de Charges,Charges d'exploitation
61921,Dotations d'exploitation aux amortissements de l'immobilisation en recherche et développement,Comptes de Charges,Charges d'exploitation
61922,"Dotations d'exploitation aux amortissements des brevets, marques, droits et valeurs similaires",Comptes de Charges,Charges d'exploitation
61923,Dotations d'exploitation aux amortissements du fonds commercial,Comptes de Charges,Charges d'exploitation
61928,Dotations d'exploitation aux amortissements des autres immobilisations incorporelles,Comptes de Charges,Charges d'exploitation
6193,Dotations d'exploitation aux amortissements des immobilisations corporelles,Comptes de Charges,Charges d'exploitation
61931,Dotations d'exploitation aux amortissements des terrains,Comptes de Charges,Charges d'exploitation
61932,Dotations d'exploitation aux amortissements des constructions,Comptes de Charges,Charges d'exploitation
61933,"Dotations d'exploitation aux amortissements des installations techniques, matériel et outillage",Comptes de Charges,Charges d'exploitation
61934,Dotations d'exploitation aux amortissements du matériel de transport,Comptes de Charges,Charges d'exploitation
61935,"Dotations d'exploitation aux amortissements des mobilier, matériel de bureau et aménagement divers",Comptes de Charges,Charges d'exploitation
61938,Dotations d'exploitation aux amortissements des autres immobilisations corporelles,Comptes de Charges,Charges d'exploitation
6194,Dotations d'exploitation aux provisions pour dépréciation des immobilisations,Comptes de Charges,Charges d'exploitation
61942,Dotations d'exploitation aux provisions pour dépréciation des immobilisations incorporelles,Comptes de Charges,Charges d'exploitation
61943,Dotations d'exploitation aux provisions pour dépréciation des immobilisations corporelles,Comptes de Charges,Charges d'exploitation
6195,Dotations d'exploitation aux provisions pour risques et charges,Comptes de Charges,Charges d'exploitation
61955,Dotations d'exploitation aux provisions pour risques et charges durables,Comptes de Charges,Charges d'exploitation
61957,Dotations d'exploitation aux provisions pour risques et charges momentanés,Comptes de Charges,Charges d'exploitation
6196,Dotations d'exploitation aux provisions pour dépréciation de l'actif circulant,Comptes de Charges,Charges d'exploitation
61961,Dotations d'exploitation aux provisions pour dépréciation des stocks,Comptes de Charges,Charges d'exploitation
61964,Dotations d'exploitation aux provisions pour dépréciation des créances de l'actif circulant,Comptes de Charges,Charges d'exploitation
6198,Dotations d'exploitation des exercices antérieurs,Comptes de Charges,Charges d'exploitation
61981,Dotations d'exploitation aux amortissements des exercices antérieurs,Comptes de Charges,Charges d'exploitation
61984,Dotations d'exploitation aux provisions des exercices antérieurs,Comptes de Charges,Charges d'exploitation
63,Charges financières,Comptes de Charges,Charges financières
631,Charges d'intérêt,Comptes de Charges,Charges financières
6311,Intérêts des emprunts et dettes,Comptes de Charges,Charges financières
63111,Intérêts des emprunts,Comptes de Charges,Charges financières
63113,Intérêts des dettes rattachées à des participations,Comptes de Charges,Charges financières
63114,Intérêts des comptes courants et dépôts créditeurs,Comptes de Charges,Charges financières
63115,Intérêts bancaires et sur opérations de financement,Comptes de Charges,Charges financières
63118,Autres intérêts des emprunts et dettes,Comptes de Charges,Charges financières
6318,Charges d'intérêt des exercices antérieurs,Comptes de Charges,Charges financières
633,Pertes de change,Comptes de Charges,Charges financières
6331,Pertes de change propres à l'exercice,Comptes de Charges,Charges financières
6338,Pertes de change des exercices antérieurs,Comptes de Charges,Charges financières
638,Autres charges financières,Comptes de Charges,Charges financières
6382,Pertes sur créances liées à des participations,Comptes de Charges,Charges financières
6385,Charges nettes sur cessions de titres et valeurs de placement,Comptes de Charges,Charges financières
6386,Escomptes accordés,Comptes de Charges,Charges financières
6388,Autres charges financières des exercices antérieurs,Comptes de Charges,Charges financières
639,Dotations financières,Comptes de Charges,Charges financières
6391,Dotations aux amortissements des primes de remboursement des obligations,Comptes de Charges,Charges financières
6392,Dotations aux provisions pour dépréciation des immobilisations financières,Comptes de Charges,Charges financières
6393,Dotations aux provisions pour risques et charges financières,Comptes de Charges,Charges financières
6394,Dotations aux provisions pour dépréciation des titres et valeurs de placement,Comptes de Charges,Charges financières
6396,Dotations aux provisions pour dépréciation des comptes de trésorerie,Comptes de Charges,Charges financières
6398,Dotations financières des exercices antérieurs,Comptes de Charges,Charges financières
65,Charges non courantes,Comptes de Charges,Charges non courantes
651,Valeurs nettes d'amortissements des immobilisations cédées,Comptes de Charges,Charges non courantes
6512,Valeurs nettes d'amortissement des immobilisations incorporelles cédées,Comptes de Charges,Charges non courantes
6513,Valeurs nettes d'amortissement des immobilisations corporelles cédées,Comptes de Charges,Charges non courantes
6514,Valeurs nettes d'amortissement des immobilisations financières cédées,Comptes de Charges,Charges non courantes
6518,Valeurs nettes d'amortissement des immobilisations cédées des exercices antérieurs,Comptes de Charges,Charges non courantes
656,Subventions accordées,Comptes de Charges,Charges non courantes
6561,Subventions accordées de l'exercice,Comptes de Charges,Charges non courantes
6568,Subventions accordées des exercices antérieurs,Comptes de Charges,Charges non courantes
658,Autres charges non courantes,Comptes de Charges,Charges non courantes
6581,Pénalités sur marchés et dédits,Comptes de Charges,Charges non courantes
65811,Pénalités sur marchés,Comptes de Charges,Charges non courantes
65812,Dédits,Comptes de Charges,Charges non courantes
6582,Rappels d'impôts (autres qu'impôts sur les résultats),Comptes de Charges,Charges non courantes
6583,Pénalités et amendes fiscales ou pénales,Comptes de Charges,Charges non courantes
65831,Pénalités et amendes fiscales ou pénales,Comptes de Charges,Charges non courantes
65833,Pénalités et amendes pénales,Comptes de Charges,Charges non courantes
6585,Créances devenues irrécouvrables,Comptes de Charges,Charges non courantes
6586,"Dons, libéralités et lots",Comptes de Charges,Charges non courantes
65861,Dons,Comptes de Charges,Charges non courantes
65862,Libéralités,Comptes de Charges,Charges non courantes
65863,Lots,Comptes de Charges,Charges non courantes
6588,Autres charges non courantes des exercices antérieurs,Comptes de Charges,Charges non courantes
659,Dotations pour courantes,Comptes de Charges,Charges non courantes
6591,Dotations aux amortissements exceptionnels des immobilisations,Comptes de Charges,Charges non courantes
65911,Dotations aux amortissements exceptionnels de l'immobilisation en non valeurs,Comptes de Charges,Charges non courantes
65912,Dotations aux amortissements exceptionnels des immobilisations incorporelles,Comptes de Charges,Charges non courantes
